source	target
HSPB7	C22orf15
HSPB7	BAG3
HSPB7	HSPB8
CYP4V2	HMDB0000067
CYP4V2	LYN
CYP4V2	HMDB0000221
CYP4V2	HMDB0000217
CYP4V2	HMDB0003178
FAIM	MYC
FAIM	LHX3
FAIM	LOC102724334
LHX9	CSNK2A1
LHX9	IGFN1
COPS2	IRF8
COPS2	FEM1B
COPS2	CSNK2A1
COPS2	COPS6
COPS2	EPB41L1
COPS2	CUL1
COPS2	CSNK2B
COPS2	PSMC1
COPS2	TP53
COPS2	ZNF446
GIMAP5	CYB561
GIMAP5	SMIM3
GIMAP5	SYT1
GIMAP5	APP
GIMAP5	EDA
GIMAP5	STX1A
GIMAP5	CD33
GIMAP5	STX4
SHMT1	STXBP1
SHMT1	MYC
SHMT1	SUMO1
SHMT1	ALAS1
SHMT1	MAPK9
SHMT1	DEDD
SHMT1	CSNK2B
COBL	ALAS1
COBL	MAPRE1
COBL	SYNPO
COBL	PACSIN2
GPRC5D	TMEM208
GPRC5D	MS4A6A
GPRC5D	PVR
GPRC5D	SLC30A2
SORL1	IL6R
SORL1	MYC
SORL1	APOE
SORL1	APP
SORL1	COPS6
SORL1	GGA1
SORL1	CUL1
SORL1	DUSP10
SORL1	LPL
SORL1	LRPAP1
CD47	BNIP3
CD47	MYC
CD47	GNAI1
CD47	PVR
CD47	PTK2B
CD47	SIRPB1
CD47	PTPN11
CD47	SIRPA
CD47	SPI1
PAK1	SPEN
PAK1	ABI3
PAK1	CRK
PAK1	APP
PAK1	BAIAP2
PAK1	CDK2
PAK1	CIB1
PAK1	CSNK2A1
PAK1	CTNNB1
PAK1	EGFR
PAK1	LYN
PAK1	NCK1
PAK1	PLCG2
PAK1	PLXNA1
PAK1	PLXNA4
PAK1	PPM1F
PAK1	RHOU
PAK1	SCRIB
PAK1	TGFBR2
PAK1	YWHAZ
UGT1A1	UGT1A4
UGT1A1	CYP3A4
UGT1A1	UGT1A10
UGT1A1	UGT1A7
UGT1A1	UGT1A8
UGT1A1	UGT1A9
UGT1A1	HMDB0000295
IGFBP3	IGF1
IGFBP3	IGFALS
IGFBP3	CD44
IGFBP3	CSNK2A1
IGFBP3	CTSD
IGFBP3	EGFR
IGFBP3	FBN1
IGFBP3	IGF1R
IGFBP3	KRAS
IGFBP3	LTBP1
IGFBP3	PRKDC
IGFBP3	TF
IGFBP3	TMEM219
IGFBP3	TP53
H2BC21	EME1
H2BC21	MLLT1
H2BC21	OBSCN
H2BC21	SVIL
H2BC21	ACTN2
H2BC21	TMEM135
H2BC21	NEB
H2BC21	TTN
H2BC21	NUP50
H2BC21	USP12
H2BC21	AP2M1
H2BC21	MEPCE
H2BC21	MAP4K4
H2BC21	CDK2
H2BC21	CUL1
H2BC21	STK38
H2BC21	TPM3
M1AP	LMNB1
FEM1B	WNT3A
FEM1B	COPS6
FEM1B	PPM1F
FEM1B	TGFB1
ME3	HMDB0000221
ME3	HMDB0000217
XXYLT1	HMDB0000295
TMEM101	VAMP1
TMEM101	BNIP3
TMEM101	DRD2
TMEM101	STX10
TMEM101	VAPB
LARP1B	APP
LARP1B	LARP1
LARP1B	MEOX2
LARP1B	MEPCE
LARP1B	MYC
LARP1B	TBC1D25
GDI2	RAB11A
GDI2	ABR
GDI2	ACTN2
GDI2	ACTR6
GDI2	BAG3
GDI2	GLRA2
GDI2	HSPB1
GDI2	RHOU
GDI2	RAB6A
GDI2	RAB8B
PLCG2	DAGLB
PLCG2	EPYC
PLCG2	EPB41L2
PLCG2	TRPC3
PLCG2	NBR1
PLCG2	TREM2
PLCG2	ITPKA
PLCG2	MYC
PLCG2	EGFR
PLCG2	ASB9
PLCG2	ESD
PLCG2	FHL2
PLCG2	LYN
PLCG2	MS4A2
PLCG2	NCK1
PLCG2	PTPN11
PLCG2	TP53
PLCG2	TRPC6
PLCG2	TRPC7
PLCG2	TYROBP
LRP6	RAB11A
LRP6	WNT3A
LRP6	CSNK1A1
LRP6	CAPRIN2
LRP6	CTNNB1
LRP6	ANTXR1
LRP6	DKK1
LRP6	FZD1
TXN2	MAPRE3
TXN2	ABI3
TXN2	PEX19
TXN2	AK1
TXN2	SOD1
TXN2	MEOX2
TXN2	SPTA1
TXN2	BHLHB9
TXN2	PPCDC
TIMM8B	TGFB1
TIMM8B	TIMM13
TIMM8B	TOMM40
SIRPA	PTK2B
SIRPA	PTPN11
SIRPA	INPP5D
SIRPA	TRIM2
SLC22A6	APP
SLC22A6	HMDB0000121
SLC22A6	HMDB0001448
SLC22A6	HMDB0000058
SPI1	IRF8
SPI1	TAL1
SPI1	NFATC1
SPI1	CSNK2A1
SPI1	IRF4
SPI1	MYB
SPI1	PRTN3
SPI1	PRKDC
SPI1	CSF1R
SPI1	PIP
SPI1	SERPINB1
NDEL1	ABI3
NDEL1	ZNF707
NDEL1	SEH1L
NDEL1	PAFAH1B1
NDEL1	APP
NDEL1	LMNB1
NDEL1	CKAP5
NDEL1	MAD2L1
NDEL1	MAPRE1
NDEL1	PPP1CC
NDEL1	TAOK1
NDEL1	VPS39
NDEL1	ZNF57
NDEL1	DCTN1
PEX13	PEX19
PEX13	ADAM10
FBXL22	ACTN2
FBXL22	FLNC
FBXL22	CUL1
IMPAD1	HMDB0001134
FAM9C	SNAP29
FAM9C	TPM3
PRAP1	HSPA6
PRAP1	MEOX2
NFATC1	IRF8
NFATC1	HOMER2
NFATC1	HOMER3
NFATC1	KPNB1
NFATC1	MYC
NFATC1	ORAI1
NFATC1	PARP1
NFATC1	PPP3CA
NFATC1	PPP3R1
NFATC1	RPS6KA3
NFATC1	STIM1
NFATC1	SUMO1
NFATC1	UBE2I
NFATC1	YWHAZ
CLNK	WWOX
CLNK	CRK
CLNK	EGFR
CLNK	GLIS3
CLNK	STK36
MUS81	EME1
MUS81	CSNK2A1
MUS81	ERCC4
MUS81	SLX4
CYCS	DSG2
CYCS	HSPA8
CYCS	APC
CYCS	MYC
CYCS	HSPB1
CYCS	CTNNB1
CYCS	MEOX2
CYCS	COX6A1
CYCS	CYB5B
CYCS	POR
CYCS	NDUFA13
CYCS	NDUFS1
CYCS	ADD1
CYCS	UQCRFS1
CYCS	EPB41
CYCS	HMDB0003178
CYCS	CDK2
PPM1G	AHCYL1
PPM1G	KPNB1
PPM1G	LRPAP1
PPM1G	MEPCE
PPM1G	PARP1
PPM1G	STAM
PPM1G	UGP2
PPM1G	XRCC6
WASL	WWOX
WASL	SLC9A3R1
WASL	CRK
WASL	ARPC3
WASL	APP
WASL	BAIAP2
WASL	CIB1
WASL	EGFR
WASL	HRAS
WASL	NCK1
WASL	NCKAP1
WASL	PACSIN2
PPP1R10	XRCC3
PPP1R10	PRKACA
PPP1R10	XRCC6
PPP1R10	APP
PPP1R10	SUMO1
PPP1R10	OBSL1
PPP1R10	PPP1CC
GAGE12G	EXOC3L2
PALLD	ACTN1
PALLD	HOMER2
PALLD	HOMER3
PALLD	HSPB1
HMDB0000742	AHCYL1
HMDB0000742	MTR
CAPRIN2	COPS6
CAPRIN2	FERMT2
CAPRIN2	MEOX2
MVB12A	APP
MVB12A	CD2AP
BZW2	EGFR
PRDX6	TXNL1
PRDX6	PGLS
PRDX6	ORM2
PRDX6	CAPG
PRDX6	CD2AP
PRDX6	CDK2
PRDX6	CUL1
PRDX6	DNM1L
PRDX6	GSTP1
PRDX6	HSPA8
PRDX6	HSPB1
PRDX6	IDH2
PRDX6	PCNA
PRDX6	PRDX1
PRDX6	SOD1
PRDX6	STH
PRDX6	p-Tau
PRDX6	HMDB0000289
PRDX6	HMDB0005896
PDHA1	PDHX
PDHA1	VDAC3
PDHA1	HMDB0001423
PDHA1	MSN
PDHA1	PPP1R2
PDHA1	UQCRFS1
FABP7	SOD1
FABP7	TAGLN3
FABP7	RNF123
UBLCP1	PSMC1
SLC33A1	HMDB0001423
SLC33A1	RBM42
PHLPP1	SLC9A3R1
PHLPP1	CSNK1A1
PHLPP1	PTK2B
PHLPP1	SCRIB
PHLPP1	USP12
MS4A6E	GJB2
MS4A6E	UBE2J1
SLC22A10	HMDB0001337
SLC22A10	HMDB0001032
SLC22A10	HMDB0001085
SLC22A10	HMDB0001381
ZNF449	MAGOHB
ZNF449	APP
IL34	ATXN1
IL34	CSF1R
IL34	LCE1F
GADD45G	PDIA4
GADD45G	PCNA
GADD45G	SERPINA4
GADD45G	APP
GADD45G	SH3GLB2
GADD45G	ACTN1
GADD45G	CDAN1
GADD45G	GRAMD4
GADD45G	PPIL1
H2AFX	HIBCH
H2AFX	PDIA6
H2AFX	HNRNPH3
H2AFX	KAT8
H2AFX	CSNK2A1
H2AFX	ANXA6
H2AFX	EYA1
H2AFX	MRE11A
H2AFX	PRKDC
H2AFX	BRCA2
H2AFX	TP53
UGT2B15	UGT2A3
UGT2B15	HMDB0000295
HHIP	DHH
HHIP	SHH
STX4	VAMP1
STX4	RAB11A
STX4	STXBP1
STX4	NAPB
STX4	HSPA8
STX4	SNAP23
STX4	SEPT5
STX4	SYT1
STX4	SEC22A
STX4	SYT4
STX4	STX1A
STX4	VAPB
STX4	AP1G1
STX4	SLC2A3
STX4	SCRIB
STX4	SNAP29
STX4	STX10
HMDB0000950	PIGN
HMDB0000950	GBA
HMDB0000950	ABCA7
HMDB0000950	UGT8
SERPINI1	DEDD
SERPINI1	PLAT
OLFM1	APP
OLFM1	EGFR
OLFM1	MEOX2
OLFM1	SNAP29
PACSIN2	HSPA8
PACSIN2	MEOX2
PACSIN2	UGP2
PACSIN2	PBX4
PACSIN2	ADAM10
PACSIN2	HSPA1B
ACE	MAP2K7
ACE	MYC
ACE	CSNK2A1
LIN9	PCNA
LIN9	MYB
ATG16L1	RB1CC1
ATG16L1	APP
ATG16L1	WIPI2
ATG16L1	AGPS
ATG16L1	AP2M1
ATG16L1	GABARAP
ATG16L1	SYNPO2
ATG16L1	WDFY3
CR1	C4A
DKC1	WWOX
DKC1	DHX36
DKC1	ENDOG
DKC1	MYC
DKC1	CSNK2A1
DKC1	OBSL1
DKC1	YWHAZ
DKC1	KNOP1
DKC1	TBXAS1
AP4M1	AP4B1
AP4M1	GRIN2B
AP4M1	TFB1M
AP4M1	RALA
VAMP1	SLC30A8
VAMP1	SNAP23
VAMP1	SNAP29
VAMP1	STX1A
VAMP1	VAPB
VAMP1	SYT1
VAMP1	SLC4A10
VAMP1	NAPB
PRKACA	WT1
PRKACA	PRKACG
PRKACA	RAB11A
PRKACA	ITPKA
PRKACA	CRK
PRKACA	ARPC3
PRKACA	APC
PRKACA	ADD1
PRKACA	AKAP5
PRKACA	AKAP9
PRKACA	ASIC3
PRKACA	CKAP5
PRKACA	CSNK1E
PRKACA	CYP3A4
PRKACA	DCTN1
PRKACA	EGFR
PRKACA	GFAP
PRKACA	GYS1
PRKACA	HNF4A
PRKACA	HSF1
PRKACA	LRP1
PRKACA	MAP2
PRKACA	MAPRE1
PRKACA	NPR1
PRKACA	PAFAH1B1
PRKACA	PARK2
PRKACA	PLIN1
PRKACA	PPP1CC
PRKACA	PSEN1
PRKACA	RYR2
PRKACA	SLTM
PRKACA	VAPB
PRKACA	YWHAZ
PRKACA	HMDB0000058
ANKRD29	ADD1
ANKRD29	FERMT3
BEST4	HMDB0000595
SORD	FAH
SORD	CRYAB
SORD	MYC
SORD	SOD1
SORD	GCLM
SORD	PGD
NPC1L1	RAB11A
NPC1L1	HMDB0001893
MYPN	ACTN2
MYPN	NEB
MYPN	TTN
PAF1	TULP3
PAF1	KAT8
PAF1	MLLT1
PAF1	MYC
PAF1	HSPB1
PAF1	CSNK2A1
PAF1	LEO1
PAF1	PTPN11
PAF1	SUV39H1
MBNL1	HNRNPH3
MBNL1	MYC
MBNL1	APP
MBNL1	CELF1
MBNL1	DDX17
MBNL1	HNRNPA2B1
ZNF496	ZKSCAN4
ZNF496	CBX3
ZNF496	ARR3
ZNF496	ZSCAN21
ZNF496	ZNF446
SH3GLB2	BLMH
SH3GLB2	LGALS14
RNF25	HSPA8
RNF25	MEOX2
RNF25	KCTD21
ARPC3	STXBP1
ARPC3	BAIAP2
ARPC3	LTA4H
ARPC3	NCK1
ARPC3	NCKAP1
ARPC3	OBSL1
ARPC3	SYNPO
IFT20	FSD2
IFT20	ABI3
IFT20	CORO1A
IFT20	EXOC3
IFT20	NME8
IFT20	PBX4
IFT20	RASSF4
IFT20	SEC61B
CSNK1E	NCOA3
CSNK1E	CSNK1A1
CSNK1E	HSPA8
CSNK1E	APC
CSNK1E	DRICH1
CSNK1E	AKAP9
CSNK1E	APP
CSNK1E	BHLHE41
CSNK1E	CKAP5
CSNK1E	CSNK2B
CSNK1E	CTNNB1
CSNK1E	DCTN1
CSNK1E	DDX3X
CSNK1E	FBP1
CSNK1E	MAPRE1
CSNK1E	PAFAH1B1
CSNK1E	PPP2R5E
CSNK1E	TAOK1
CSNK1E	TP53
CSNK1E	ZNF227
SLC16A7	CDIPT
SLC16A7	SCRIB
STXBP1	DOC2A
STXBP1	ACTN1
STXBP1	APP
STXBP1	ARHGEF12
STXBP1	BIN1
STXBP1	GPRC5B
STXBP1	HSPA8
STXBP1	MEOX2
STXBP1	NUP50
STXBP1	PSEN1
STXBP1	SLC22A2
STXBP1	SQSTM1
STXBP1	STX19
STXBP1	STX1A
STXBP1	SYT1
STXBP1	TRIM38
STXBP1	p-Tau
TLR10	TLR1
TLR10	CD33
TLR10	SIGLEC6
GRIN2B	DAPK1
GRIN2B	DLG2
GRIN2B	ACTN2
GRIN2B	APP
GRIN2B	HRAS
GRIN2B	LIN7B
GRIN2B	AKAP9
GRIN2B	AP2M1
GRIN2B	DLG4
GRIN2B	PTPN11
GRIN2B	APLP1
GRIN2B	CAMK2G
GRIN2B	EXOC3
GRIN2B	PARK2
GRIN2B	SCRIB
SHANK1	BAIAP2
SHANK1	DLG4
SHANK1	RPS6KA3
SHANK1	SSTR2
SHANK1	TMEM219
MTCH2	APOC1
SPTA1	NCOA3
SPTA1	XRCC6
SPTA1	HRAS
SPTA1	PLEC
SPTA1	ADAM10
SPTA1	ADD1
SPTA1	BCKDK
SPTA1	ERCC4
SPTA1	HNRNPA2B1
SPTA1	KRAS
SPTA1	PARP1
SPTA1	SCN8A
UGT2B4	HMDB0000295
ACHE	HMDB0000042
ACHE	APP
ACHE	HMDB0000895
ACHE	HMDB0000097
ATP5F1	SPP1
ATP5F1	CDK2
APH1B	NOTCH1
APH1B	WWOX
APH1B	ADAM10
APH1B	JAG1
APH1B	PSEN1
APH1B	PSEN2
ARPP19	SPDYC
ARPP19	APP
ARPP19	MASTL
ACTN2	TULP3
ACTN2	SYNPO2L
ACTN2	DUX1
ACTN2	ACTN4
ACTN2	PSMB8
ACTN2	ACTN1
ACTN2	AKAP9
ACTN2	CAMK2G
ACTN2	DLG4
ACTN2	HRAS
ACTN2	HSPB1
ACTN2	MICALL2
ACTN2	MYOZ2
ACTN2	NCOA1
ACTN2	NEB
ACTN2	SCRIB
ACTN2	SUMO1
ACTN2	SYNPO
ACTN2	SYNPO2
ACTN2	TPM3
ACTN2	TTN
ACTN2	ZNF446
MRE11A	ATRX
MRE11A	XRCC6
MRE11A	CCNE1
MRE11A	OBSL1
MRE11A	FLII
MRE11A	HNRNPA2B1
MRE11A	PRKDC
WDR35	TULP3
DLG4	WNT3A
DLG4	CASK
DLG4	NLGN2
DLG4	APC
DLG4	DLG2
DLG4	NLGN4X
DLG4	LRP1
DLG4	APP
DLG4	HRAS
DLG4	LIN7B
DLG4	ABR
DLG4	EPB41L1
DLG4	AKAP9
DLG4	GRIK4
DLG4	PTK2B
DLG4	AKAP5
DLG4	ASIC3
DLG4	CAMK2G
DLG4	CNTNAP2
DLG4	DUSP10
DLG4	FZD1
